Username,Message,Character Count,Retweet Count,Like Count,Total Actions,Type
CompanyJ_107,Spurs fans start traitor chant while Kawhi shoots FT s ,55,4527,19895,24422,video
CompanyJ_108,Kawhi was tryna see what DeMar and Kyle Lowry were chatting about ,66,1877,13072,14949,video
CompanyJ_109,DeMar DeRozan had the last laugh in San Antonio ,48,926,4463,5389,photo
CompanyJ_110,Nothing but respect between Kawhi and Pop ,42,2254,13679,15933,video
CompanyJ_111,Top ranked UConn falls to No 8 Baylor 68 57 snapping 126 game regular season winning streak ,92,1049,4501,5550,photo
CompanyJ_112,Clint Capela from 15 feet KD wasn t feeling it NSFW ,52,952,6636,7588,video
CompanyJ_113,Kawhi s mom was not having it with this Spurs fan via DavidShitler ,67,2555,11888,14443,video
CompanyJ_114,KD with a ridiculous shot that barely doesn t count ,52,770,4452,5222,video
CompanyJ_115,Jamal Murray BIG TIME ,22,777,4516,5293,video
CompanyJ_116,This Harden step back on Klay ,30,1536,6993,8529,video
CompanyJ_117,Can t guard this Harden forces OT ,34,2594,11096,13690,video
CompanyJ_118,JAMES HARDEN BIG TIME ,22,1900,6585,8485,photo
CompanyJ_119,Was KD not out of bounds here ,30,6809,28444,35253,video
CompanyJ_120,JAMES HARDEN FOR THE WIN ,25,13614,38264,51878,video
CompanyJ_121,James Harden had words for Draymond right after the game winner ,64,11429,42649,54078,video
CompanyJ_122,Wait a minute CP3 ,18,950,6617,7567,link
CompanyJ_123,James Harden wants it ,22,2350,11202,13552,photo
CompanyJ_124,Beard finishes with another 40 point triple double and he gives all the credit to his teammates via NBA ,104,1858,12798,14656,video
CompanyJ_125,James Harden calling his repeat MVP right after the game ,57,3420,17963,21383,video
CompanyJ_126,Pop still has respect for Kawhi ,32,894,7561,8455,photo
CompanyJ_127,He holds the league record for career receptions and receiving yards by a TE Is Tony Gonzalez a first ballot Hall of Famer PFHOF19 From B R x FordTrucks ,153,46,438,484,video
CompanyJ_128,Even Messi s accidental goals are a thing of beauty via FCBarcelona ,68,414,3286,3700,video
CompanyJ_129,Raptors Spurs Bucks Week 12 NBA Power Rankings ,47,77,791,868,photo
CompanyJ_130,13 years since the 2006 Rose Bowl arguably the greatest CFB game of all time All 3 top Heisman candidates played Highest rated BCS game in TV history Vince Young 467 yards 3 TDs 0 TOs inc game winner with 19 left 62 players later appear in at least 1 NFL game ,260,3624,13109,16733,photo
CompanyJ_131,This angle of Harden s game winner via colinfraser IG ,54,3289,17314,20603,video
CompanyJ_132,QB Justin Fields is finalizing transfer from Georgia to Ohio State per YahooForde Fields was one of the country s most coveted transfers ,137,1293,4436,5729,photo
CompanyJ_133,2018 AP NFL All Pro First Team Offense QB Patrick Mahomes RB Todd Gurley WR DeAndre Hopkins Michael Thomas TE Travis Kelce Flex Tyreek Hill ,140,1752,8956,10708,photo
CompanyJ_134,Leighton Vander Esch s wolf hunting photo helped get him drafted in the first round by the Cowboys His team leading tackles are helping make him a star ,152,168,1006,1174,photo
CompanyJ_135,His reaction to meeting Messi and Luis Suarez is what it s all about via FCBarcelona ,85,438,3499,3937,video
CompanyJ_136,D Rose on getting the third most All Star votes in the West via JonKrawczynski I don t sell myself to people I don t have an Instagram It comes from me being in people s minds for some reason and people really caring ,217,10252,60359,70611,photo
CompanyJ_137,Club Dub was open for business 12x this season and Chicago is hoping it s not over yet ,87,1505,6998,8503,video
CompanyJ_138,Trevor Lawrence is only a freshman but scouts and coaches say he has the once in a generation talent to knock Alabama off its throne ,133,290,2119,2409,photo
CompanyJ_139,On this day in 2003 Michael Vick became the youngest QB ever to win a playoff game Will Lj_era8 break his record via NFLThrowback ,130,3749,15818,19567,video
CompanyJ_140,Jimmy Butler has aggressively challenged Sixers coach Brett Brown about his role in the offense per wojespn ,108,1613,7920,9533,photo
CompanyJ_141,D Rose reflects on the initial results of this year s All Star voting ,70,1243,7737,8980,photo
CompanyJ_142, ChrisJohnson28 shared an epic story on one of the times LenDale White was late to a Titans meeting Watch the full interview via SimmsAndLefkoe ,144,57,374,431,video
CompanyJ_143,All his boys were hype via dawwkins Instagram ,46,5867,29232,35099,video
CompanyJ_144, Won 9 of 10 5th in PPG Career year for Luck This offense makes the Colts dangerous HULU ,89,143,785,928,video
CompanyJ_145,An absolute MISSILE from 40 plus via victorrada10 IG ,53,394,2836,3230,video
CompanyJ_146, I d kill him Giannis on if he could beat TheRock in a wrestling match via Bucks ,81,900,6651,7551,video
CompanyJ_147,Kuz trying to get some more foul calls via kylekuzma ,53,3418,21384,24802,photo
CompanyJ_148,Luka steps back from everywhere via dallasmavs ,47,596,4179,4775,video
CompanyJ_149,Go ahead DIPO ,14,195,1518,1713,video
CompanyJ_150,Giannis wants to go 1 on 1 with The Great One ,46,900,6419,7319,photo
CompanyJ_151,Grizzlies turned Bird Box into a game for courtside seats ,58,307,1759,2066,video
CompanyJ_152,Luka right before the half via NBA ,35,3205,19039,22244,video
CompanyJ_153,This ref wasn t having it with Brogdon ,39,225,2365,2590,video
